Fm,characteristic,SeperatorVolume,HeatedCrudeTemperature,NoOfStages,GasInjectionPressure,GasLiftCapacity,SeawaterLiftPumpCapacity,WaterInjectionPressure,ReverseOsmosisSystem,GenerationCapacity,ChainTableDiameter,NoOfSwivelStacks,MooringLoadCapacity,TurretWeight,Length,Breadth,Depth,Material,NoOfBulkhead,NoOfPAU
API Grade,0.5,1.0 ,0.8 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
Gas/Oil Ratio,0.5,1.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.0 ,0.0 ,0.0 ,0.5 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
Reservoir Pressure,0.5,1.0 ,0.0 ,1.0 ,-1.0 ,-1.0 ,-0.3 ,-1.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
Oil Production,0.5,1.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
Water Production,0.5,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,-0.5 ,0.0 ,0.4 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
Reservoir Temperature,0.5,0.0 ,0.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
Water Depth,0.5,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
Current,0.5,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.8 ,0.0 ,1.0 ,0.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
Wave,0.5,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.8 ,0.0 ,1.0 ,0.8 ,0.2 ,0.0 ,0.0 ,0.0 ,0.2 ,0.0 
Wind,0.5,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.3 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
No. of Risers&Umbilicals,0.5,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,1.0 ,1.0 ,1.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
Discharge Duration,0.5,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.9 ,0.9 ,0.9 ,0.0 ,-0.2 ,0.0 
Crude Storage,0.5,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.9 ,0.9 ,0.9 ,0.0 ,-0.2 ,0.0 
Deck Space,0.5,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 
Mooring Load,0.5,0.0 ,0.0 ,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,1.2 ,1.0 ,1.0 ,0.2 ,-0.2 
Deck Space Usage,0.5,0.0 ,0.0 ,0.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.0 ,0.0 ,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.5 